Class,Champion,Tips against this defender 💡,Counters
Science,Cassie Lang,"Cassie Lang dodges frequently, and when she uses SP1, if the opponent doesn't land 14 hits in 12 seconds, they will take direct damage.
Against her, it's advisable to force SP2 and use champions that purify or reduce abilities.","Falcon, Silver Sable, Cyclops (Blue Team), Crossbones, Okoye, Mole Man"
Science,Count Nefaria,"Count Nefaria's biggest problem is his Resistances.
he's extremely Resistant to all Physical and Energy Damage. he's also Resistant to Degeneration.
Furthermore, using champions with Passive Power Gain is not advised since this makes him gain his Resistances even faster.
Therefore, against Count Nefaria the best champions are those with access to Armor Break and Fury.
One of the only Effects that Count Nefaria is completely vulnerable to is Poison.","Arcade, Crossbones, Thanos (Deathless), Galan, Bastion, Abomination (Immortal)"
Mutant,Dani Moonstar,"Against Dani, you should keep her on SP1, because it's much easier to dodge.
You should also avoid hitting her block since she can become invisible.","Nimrod, Ironheart, Archangel, Iron Man (Infamous), Omega Sentinel, Iron Man"
Cosmic,Dark Phoenix,"Dark Phoenix's main defensive threats are: Nova Flame (only 2 champions are immune), Immortality, Safeguard and Specials with Root.
The main dangers of this Defender:
➤ Safeguard Bonus
Dark Phoenix receives a Safeguard Bonus at the beginning of the fight and every 10 seconds.
This Safeguard prevents her from losing 5% of her life from a single source of damage.
In addition, the Safeguard also reduces the Potency of Damage and Sting Effects by 75%.
➤ Immortality
When Dark Phoenix has 1% health left, she activates Immortality.
As soon as Immortality activates, the Opponent receives a Nova Flame Passive.
Only 2 champions are immune to Nova Flame [Ice Man and Dark Phoenix], however, for each Poison applied to Dark Phoenix, the duration of Nova Flame is reduced by 40%.
If the attacker isn't a Mystic, then this reduction cannot exceed 40%. If the attacker is a Mystic, then it's possible to completely avoid the Nova Flame by applying 3 Poisons.
In addition, Dark Phoenix regenerates all Energy Damage suffered during Immortality.
➤ Nova Flame
Whenever she activates Special Attacks, Dark Phoenix applies a Nova Flame to the Opponent after 3 Seconds.
For each hit the attacker makes on her after the Special, the Nova Flame's duration is reduced by 13%.
In other words, if the Opponent hits 8 Hits in 3 seconds, the Nova Flame is not applied.
Another way to reduce the Nova Flame's duration is by applying Poisons to Dark Phoenix.
➤ Special Attacks
Whenever she uses SP1, she activates an Unstoppable for 5 seconds.
Whenever she uses SP2, she passively Roots the Opponent.
In addition, her Special Attacks are Unblockable while she is Immortal.

How to defeat Dark Phoenix?
➤ Champions with Access to Poison
Poison reduces the duration of Nova Flame by up to 100% [if she is a Mystic], which immediately removes the main danger.
➤ Champions with Access to Seal Fate, Buff Immunity and Atrophy
Dark Phoenix's Buffs can have their reduction reduced, so champions like Mojo, Kindred, Absorbing Man and Shahtra are good answers.
In addition, Seal Fate [The Hood has the best access] and Buff Immunity [only Claire has access] completely prevent Safeguard, Unstoppable and Immortality.
➤ Champions with High Energy Resistance
Dark Phoenix's Nova Flame Damage and Attacks are Energy-based, so champions with high Energy Resistance [at least 60%] have a clear advantage against this Defender.
➤ Champions with Mechanics that Prevent Immortality
Some champions completely prevent Immortality, the best being Isophyne, Spiral and Absorbing Man.
Spiral has a special advantage because her base combo has a lot of hits and also prevents the damage from Flame Nova.","The Hood, Diablo, Shathra, Count Nefaria, Abomination (Immortal), Spiral, Tigra, Black Widow (Claire Voyant), Kindred, Absorbing Man, Mojo, Nico Minoru"
Mutant,Dazzler,"Dazzler, like Man-Thing, reduces the Potency of Critical Damage to Zero, unless the opponent is Tech.
Therefore, against Dazzler it's important to use champions with Secondary Damage Effects.
In addition, for every 10 Hits that the Opponent lands on Dazzler, she becomes Invisible when she runs forward.","Prowler, The Serpent, Ironheart, Sentinel, Jack O'Lantern, Onslaught"
Mutant,Domino,"Champions that are immune to ability reduction are the best against Domino.
Using a champion that relies on chance-based abilities can be lethal against Domino. ❌
You should use tech-based champions and always be careful about dodging when she fills a bar of power.","Nimrod, Viv Vision, Lady Deathstrike, Red Skull, Shuri, Prowler"
Mutant,Dust,"Dust is another champion with Evasion mechanics.
All Abilities that activate through Block don't work against Dust.
Hitting Sand while on Block or with Medium Hits causes her to apply Sand Debuffs.

The main dangers of this Defender:
➤ If 4 Sand Debuffs are stacked on the Attacker, Dust enters Sandstorm Mode and converts the 4 Sand Debuffs into a Passive that makes the Attacker lose health every second.
➤ If Dust's SP1 is blocked, she applies 2 Sand Debuffs, so it's important to dodge this special completely.

How to defeat Dust?
While fighting Dust, it's important to pay attention to the Sand Debuffs, you shouldn't hit the block or use excessive medium attacks. It's also mandatory to dodge SP1.

However, there is a way to remove the Sand Debuffs.
➤ Applying 1 Incinerate or Plasma Effect removes a Sand Debuff.
Therefore, using champions with frequent access to Plasma or Incinerate completely counters Dust.
Another good solution is to use champions with high resistance to Physical Damage, the best in this case being Absorbing Man.","Ironheart, Silk, Jack O'Lantern, Prowler, Viv Vision, Bastion"
Science,Electro,"The big problem with Electro is that he returns part of the damage he receives in the form of energy damage.
Against him, the best options are champions with high energy resistance or who reduce abilities.","Archangel, Dazzler, Havok, Falcon, Negasonic Teenage Warhead, Prowler"
Cosmic,Galan,"Galan is dangerous because of the harvest detonation on the defender. He's also immune to dispels.
You should never use champions with armor bonuses against Galan, as this feeds the harvest. ❌
The best way to control Galan is to use champions with neutralize or use champions with power steal.","Rintrah, Purgatory, America Chavez, Wiccan, Tigra, The Hood"
Mutant,Gentle,"Gentle gains a Boost Passive whenever he's hit by a guaranteed critical hit or by 2 critical hits within 2 seconds. This Passive prevents the Attacker from landing any critical hits.
In addition, every 15 hits made by the Attacker, Gentle becomes Passively Unstoppable for 3 Seconds.

How to defeat Gentle?
➤ The Boost Passive lasts 20 seconds and has no cooldown, meaning the opponent cannot land critical hits throughout the fight. For this reason, it's mandatory to use Attackers with access to Damage Effects.
➤ In addition, it's necessary to pay close attention to the Unstoppable Passive, since this Unstoppable activates even during the Attacker's Specials.
➤ Champions with Slows or Anti-Unstoppable Mechanics such as Resilience are good answers, but it's important that they have access to Damage Effects.","Sentinel, Jack O'Lantern, Nimrod, Lady Deathstrike, Beta Ray Bill, Nico Minoru"
Cosmic,Gladiator,"The Gladiator becomes Unstoppable for 4 seconds when he uses SP1.
In addition, Specials apply debuffs even if they are blocked.
SP1 applies Cold Wave and SP2 applies Incinerate through the block.
Against this defender, it's advisable to use champions that are Immune to Incinerate and Cold Wave, or else use a good Power Controller.","Absorbing Man, Shathra, America Chavez, Isophyne, The Hood, Nico Minoru"
Cosmic,Gorr,"Gorr is a defender that is simply difficult to take down without very specific counters. ❌
His biggest danger is his massive regeneration, but in addition to that, if all the bonuses are not nullified, he applies shock, bleed and poison through block.
You should use nullifiers or neutralizers against him.","White Tiger, Longshot, Kushala, The Hood, Symbiote Supreme, Nico Minoru"
Tech,Guardian,"Against the Guardian, you shouldn't use champions that rely on bleed or energy damage.
If the attacker you use doesn't break or nullify his armor, then you shouldn't use special attacks because he'll auto-block.
Champions with vigilance also avoid auto-block.","Medusa, Thanos (Deathless), Galan, Hulkling, Scream, Vox"
Mutant,Havok,"Against Havok, it is mandatory to use champions with active armor bonuses.
It's preferable to force him to use heavy and SP2, this way you control the plasma charges.
You shouldn't use champions with energy damage or those that cause bleeding against Havok. ❌","Warlock, Ultron, Colossus, Ant-Man (Future), Iron Man, Yondu"
Science,High Evolutionary,"High Evolutionary is currently one of the best defenders in the game. His main defensive threats are Auto-Block, Combo Detonation, and Inverted Controls.
There are few effective counters against him, and several rules must be followed to take him down.

The main dangers of this defender:

Auto-Block
➤ Whenever the attacker repeats the same move, the High Evolutionary gains 3 charges of the passive Auto-Block.
This Auto-Block cannot be avoided by Ability Reductions or Effects like Sabotage or True Sense.
Fortunately, the High Evolutionary's Auto-Block doesn't trigger the Parry Mastery.
Still, it's best for the attacker not to repeat any Basic Moves; this way, they won't have to deal with Auto-Block.

Combo Detonation
➤ When the Attacker gains 1 Bar of Power, they suffer a 16-Hit Passive Combo Detonation.
Upon suffering this Combo Detonation, the Attacker is forced to Hit the High Evolutionary 16 times in just 18 seconds.
If the Attacker fails to hit the High Evolutionary 16 times within 18 seconds, they suffer a Direct Damage Explosion equivalent to 280% of the Defender's Attack.
The power of this Detonation is truly overwhelming, so it cannot be ignored.

Inverted Controls
➤ When the High Evolutionary uses SP2 or SP3, it places an Evolutionary Field on the Attacker for 12 seconds.
While the Attacker is within this Evolutionary Field, they suffer an Inverted Controls.
Furthermore, being within this Evolutionary Field increases the damage of the Passive Combo Detonation.

Ideally, the Attacker should NEVER let the High Evolutionary use SP2. ⛔","Okoye, Bullseye, Yelena Belova, Nick Fury, Kate Bishop, Chee'ilth"
Science,Hulk (Immortal),"The only danger this defender poses is the massive regeneration at the end of his first life.
He's immune to petrification and healing reduction, so to avoid his healing you need to use champions with healing block or that reduce defensive abilities.","Okoye, Black Cat, Crossbones, Nick Fury, Falcon, Silver Sable"
Tech,Hulkbuster,"It's important to use champions that can break armor against Hulkbuster, otherwise the ability reduction and shock damage can be lethal. Another good option is buff nullifiers.
Using a champion that is immune to shock but doesn't have armor nullifiers or breaks is not recommended. ❌","Magneto, Scream, Cosmic Ghost Rider, Hulkling, Thanos (Deathless), Medusa"
Cosmic,Hulkling,"To easily take down this defender, you need to use the right counter.
Hulkling has indestructible, unblockable, regeneration and block penetration effects.
Fortunately, all of these effects are bonuses, so neutralizers or nullifiers can easily shut him down.","Kushala, Tigra, Longshot, The Hood, America Chavez, Nico Minoru"
Cosmic,Hyperion,"Against Hyperion, the most important thing is to control his power gain. There are 3 ways to control him:
Using champions with nullification/neutralization, using champions with power steal/drain, or using champions with access to petrify effects.","America Chavez, The Hood, Spiral, Symbiote Supreme, White Tiger, Nico Minoru"
Mutant,Iceman,"The entire threat of this defender lies in the cold wave that x200 is lethal.
Therefore, you should always use immune to cold wave against this defender. ⚠️","Ghost, Warlock, Iceman, Colossus, Ironheart, The Serpent"
Cosmic,Ikaris,"Against Ikaris, it's imperative to not let him use SP2, since this special can become unblockable.
The best way to control Ikaris is to nullify or neutralize his energize bonuses.
You should only use Mystics against Ikaris because the other classes take energy damage frequently.","Kushala, Isophyne, Absorbing Man, Shathra, The Hood, America Chavez"
Science,Invisible Woman,"Invisible Woman has a protection that limits the damage she receives by 90% and becomes invisible when this protection ends or when she's knocked down.
There are 2 ways to remove the invisibility, using champions with vigilance or champions that purify.","Bullseye, Archangel, Lumatrix, Kingpin, Mole Man, Chee'ilth"
Tech,Iron Man (Infamous),"Against Iron Doom, it's important to use champions that are immune to power burn and champions that are immune to shock.
Another effective way to defeat him is to use champions with armor break.
It's preferable to force him to use Special 2 since Special 1 can be tricky.","Galan, Medusa, Scream, Cosmic Ghost Rider, Thanos (Deathless), Hulkling"
Tech,Iron Man (Infinity War),"IMIW autoblocks with 4 armor, so it's important to break his armor or use a champion with accurate attack or ability reduction.
Nullifiers don't work against IMIW. ❌
When he's at 15% he gains a lot of power passively, you need to pay close attention to this.","Magneto, Thanos (Deathless), Vox, Scream, Void, Karolina Dean"
Mutant,Jean Grey,"Jean Grey, whenever the Opponent hits her with a critical hit, applies an Exhaustion that reduces the Potency of Critical Damage.
In addition, Jean Grey has a Force Field that allows her to have an additional Resistance to all types of damage.
In addition, the greatest danger that this Defender presents is the Inversion of Controls.
Whenever Jean Grey activates Special Attacks, the Attacker's Controls are Inverted.

How to defeat Jean Grey?
➤ Against Jean Grey, it's mandatory to use Champions that are Immune to Inverted Controls.
➤ In addition, since Jean Grey has a Force Field and also reduces the Potency of Critical Damage, it's advisable to use Champions that have access to Secondary Damage Effects.","Jack O'Lantern, Prowler, Ironheart, Mister Sinister, Professor X, The Maker"
Science,Jessica Jones,"Jessica is dangerous because she becomes unblockable and unbeatable if the opponent uses special attacks.
Healing effects eliminate her abilities, another way to control her is to use champions with ability reduction.
It's also advisable not to use special attacks against this defense.","Archangel, Okoye, Valkyrie, Silver Sable, Jabari Panther, Chee'ilth"
Cosmic,Karolina Dean,"Karolina Dean's main defensive mechanics are Unblockable Specials and Passive Power Gain.

Karolina Dean gains an Unblockable and Power Gain Bonus when within the Iridescent Sun Area.

Against Karolina Dean, champions who block Unblockable Specials have a clear advantage.

Fortunately, Karolina Dean isn't immune to Nullify, Neutralize, Bonus Immunity Effect, or Fate Seal, so any champion with access to these Abilities works well against her.","The Hood, Wiccan, Nico Minoru, Rintrah, Kushala, Symbiote Supreme"
Mutant,Kitty Pryde,"Against Kitty Pryde, it's important to pay attention to her feats.
With 3 feats, she becomes invisible during Dashing Attacks and when she's invisible, she reflects the damage received to the attacker.
It's advisable to use champions that remove feats or that don't land critical hits.","Nimrod, Jack O'Lantern, Iron Man (Infamous), Guardian, Iron Man, Prowler"
Cosmic,Knull,"The biggest problem Knull has inverted controls. To avoid this, you should force him to use SP2 and not let him use SP1. However, the safest options are champions who are immune to inverted controls.
Champions who are immune to armor also have some advantage against Knull.","Absorbing Man, Kushala, Wiccan, Doctor Doom, The Destroyer, White Tiger"
Tech,Lady Deathstrike,"The biggest danger against Lady Deathstrike is that her specials take up a lot of screen space and it's easy to get stuck on walls.
She also regenerates a large part of the damage from her special moves.","Vox, Cosmic Ghost Rider, Thanos (Deathless), Hulkling, Galan, Medusa"
Science,M.O.D.O.K.,"This defender has the most frequent access to autoblock in the entire game.
It's mandatory to use M.O.D.O.K. against attackers with accurate attack, vigilance or reduced abilities.","Archangel, Vox, Falcon, Silver Sable, Mole Man, Magneto"
Cosmic,Maestro (Cosmic),"Maestro has an extensive KIT of defensive abilities that make this Defender one of the best in the game.
The main problem with this Defender is that with 10 Neutroniums he gains an Evasion Bonus that prevents all critical hits and offensive abilities.
In addition, with 30 Neutroniums he applies Energy Damage to the Opponent whenever they are close.
With 40 Neutroniums he reaches Superior Fury, in this Mode Evasion becomes a Passive Effect and when he casts Specials the Opponent is rooted.
The trick to killing the Maestro is to kill him before he reaches 40 Neutroniums since no champion is immune to Evasion.
However, the Attacker's Special Attacks don't suffer Evasion, so champions with a lot of damage in Specials or who have quick access to specials are good answers against the Maestro.
Another way to counter Maestro is to use champions that reduce his buff duration, such as Mojo or Kindred.
Champions that can passively gain power or have power steal are great answers against this defender, such as: Sorcerer Supreme, Chavez, Tigra, The Hood, Wong or Symbiote Supreme.","Shathra, Symbiote Supreme, Werewolf By Night, Purgatory, Spiral, The Hood, Vox, Kushala, Nico Minoru"
Mutant,Magneto,"With the exception of Archangel, Nimrod and Lady Deathstrike, you shouldn't use metals against Magneto. ❌
You should keep him at SP1 and use champions with energy damage.","Nico Minoru, Human Torch, Jack O'Lantern, Kushala, Sentry, Hulkling"
Cosmic,Medusa,"Medusa's biggest threat is autoblock, but she only autoblocks when she has 3 furies, so champions with neutralize/nullify will prevent this.
Another way to stop her is by using champions with true strike.","The Hood, Crossbones, Vox, Rintrah, Longshot, Nico Minoru"
Science,Mister Fantastic,"Mister Fantastic has a 5% chance to dodge for each non-damaging negative effect active on him or the opponent.
In addition, if the opponent uses the same special twice, the special will have reduced damage. Against him, you should use purifiers or champions with accurate attacks.","Crossbones, Mole Man, Okoye, Kate Bishop, Falcon, Silver Sable"
Mutant,Mister Sinister,"Against Sinister, you shouldn't use champions with guaranteed critical hits or that apply negative damage effects to which they are not immune.
Champions that don't critically hit are good options.
The safest way to kill him is to use champions with healing block or petrify.","Warlock, Viv Vision, Prowler, Omega Sentinel, Nimrod, Bastion"
Science,Morbius,"The only danger this Defender poses is that he becomes invisible and unblockable when he dashes forward, and this attack gains +250% attack.
So getting caught by this attack can be fatal.
The best way to avoid this problem is to use champions that prevent flinching.
You should also avoid using ability nullifiers or reducers because this increases the frequency of the psionic flight, which is unblockable and doesn't miss.","Bullseye, Cyclops (Blue Team), Photon, Lumatrix, Okoye, The Serpent"
Tech,Mysterio,"The most important rule against Mysterio not hit him after his SP1. Because that reflects the damage.
It's advisable to keep him in SP1 and not hit him for 6 seconds. In SP2 he becomes invisible and still drains power.
The best answers against him are champions who avoid flinching.","Medusa, Cosmic Ghost Rider, Vox, Hercules, Hulkling, Galan"
Mutant,Negasonic Teenage Warhead,"Negasonic presents 2 dangers:
➔ None of her attacks can be stunned with parrying since all of her attacks don't make contact.
➔ She has a 15% chance to dodge medium or light attacks and at the same time stun the opponent.

How to defeat Negasonic?
➤ Common champions cannot parry this Defender, however some champions such as Jack'O Lantern, Photon, Angela and Ironheart have the ability to parry attacks that don't make contact.
➤ In addition, champions must frequently knock Negasonic down to turn off her dodge.","Photon, Angela, Ironheart, Jack O'Lantern, Prowler, Bastion"
Mutant,Nightcrawler,"It's important to use champions that prevent dodge and are immune to bleed.
Trying to change his mode is a risky move that can go very wrong.
This defender's threat comes when he's placed in stun immunity nodes. ⚠️","Ghost, Cyclops (Blue Team), The Serpent, Prowler, Bastion, Solvarch"
Tech,Nimrod,"Nimrod is an extremely durable champion, so it's important to use champions with direct damage or energy damage (incinerate, shock). It's safer to keep him at SP1, since at SP2 he's unstoppable.
His armor cannot be removed by armor break but can be dispelled.","Galan, Medusa, Hulkling, The Hood, The Serpent, Human Torch"
Mutant,Northstar,"Northstar presents 2 dangers:
➔ When using Special Attacks, it prevents the Attacker from landing Critical Hits for more than 6 seconds.
➔ Northstar's Specials cost less power and take up a lot of space on the screen, so after some specials, it's common for the opponent to be close to the wall.

How to defeat Northstar?
➤ To easily defeat Northstar, the ideal is to use champions with access to Damage effects, such as Incineration, Shock, Rupture, among many others.
➤ In addition, champions with access to power control are also recommended.
➤ Northstar's SP2 takes a lot of life on block, so it's advisable to keep him on SP1.","Sentinel, Jack O'Lantern, Ant-Man (Future), Nimrod, Prowler, Bastion"
Cosmic,Nova,"Against Nova, you can't use champions with guaranteed critical hits, because he reduces the damage taken by 70%. ❌
Nova has an intense power gain, power controllers are good options against him.
It's also important to cancel out his rages because when they're active he has access to auto-block.","Absorbing Man, Spiral, Doctor Doom, America Chavez, The Hood, Shathra"
Tech,Omega Sentinel,"The biggest threat to Omega Sentinel is her auto-block, she auto-blocks when she has 5 armor.
Champions with nullification don't work against her, so there are 3 ways to defeat her. Champions with armor break, champions with defensive ability reduction, or champions with vigilance.","Scream, Knull, Thanos (Deathless), Medusa, Corvus Glaive, Rintrah"
Mutant,Onslaught,"Onslaught is the best Mutant Defense in the game.
This is because there are few really safe answers to take him down.
Against Onslaught the fight cannot be long, otherwise the neuroshock damage can be lethal.

The main dangers of this Defender:
➤ The first medium or light hit makes no contact (so it cannot be parried)
➤ Every 10 hits suffered, this Defender's running attack becomes unblockable for 3 seconds
➤ Whenever it's hit, it has a 15% chance of applying Neuroshock Passive to the opponent
(no one in the game is immune to this effect) ⚠️. This chance increases on critical hits.
➤ Onslaught's SP2 reverses the opponent's controls.

How to defeat Onslaught?
Fights against Onslaught need to be quick, otherwise the Neuroshock damage is too intense.
The player should always be aware of the Unblockable that he receives every 10 hits, and should also always force SP1.
Champions that don't Critical Hit are also good options since they receive Neuroshock less frequently.
Another good solution is to use champions with high energy resistance, the best in this case being Havok.""","Bastion, Jack O'Lantern, Havok, Ironheart, Ant-Man (Future), The Maker"
Tech,Peni Parker,"Against Peni Parker, the most important thing is to use a champion who is immune to burn/power drain.
Another way to defeat her is by using champions with high block penetration. You must remove the shield by hitting the block, this way she loses the ability to auto-block for 20 seconds.","Galan, Scream, Hulkling, Adam Warlock, Vox, Gorr"
Science,Photon,"Photon is one of the most dangerous champions in the game, and one of the ones that causes the most problems in BGs and AW.
She applies several negative effects to the opponent and for each negative effect she reduces the block proficiency by 27.3%.
Therefore, blocking attacks against Photon is FATAL!
In addition, while she's parried she becomes invisible, so it's advisable to use champions that prevent flinching.
When she reaches 15 Electromagnetic Charges she enters Pure Light Form. While this Mode is active, Specials become Unblockable and Dexterity Proficiency is disabled.
The most effective way to control Photon is to inhibit the gain of Electromagnetic Charges. To do this, it's necessary to use champions that Reduce Defensive Abilities or that have access to Tranquilization.
Another way to survive Photon is to use champions that block Unblockable Specials.","Crossbones, Patriot, Mantis, Silver Sable, Dazzler, Lumatrix, Shuri, Silk, Okoye"
Mutant,Professor X,,"Human Torch, Omega Sentinel, Ironheart, Prowler, The Serpent, Cyclops (Blue Team)"
Science,Quicksilver,"Quicksilver is a very annoying defender, first because his animations are quite unpredictable, and second because he dodges frequently and deals whip damage.
The best way to control this defender is to use champions with anti-dodge mechanics or those that purge.","Okoye, Kate Bishop, Mole Man, Kingpin, Falcon, Crossbones"
Tech,Red Skull,"If Red Skull has active armor, hitting his block applies Direct Damage to the Attacker.
Red Skull is immune to nullification, so all mystical counters no longer work.
In addition, for each active armor on him, the Opponent suffers -10% Stun Ability Accuracy, meaning it is very difficult to parry him.

How to defeat Red Skull?
The most important thing when fighting Red Skull is to remove armor, and for this, champions with Armor Break are the best options.
In addition, if you use SP1, Red Skull activates a Self-Block Passive for 3 seconds and if you use SP2, you become Unstoppable.
Champions with access to Armor Break are the most effective.
Knull is also an option because he converts his armor into Living Abyss Debuffs.","Medusa, Scream, Gladiator, Corvus Glaive, Vox, Kushala, Thanos (Deathless), Beta Ray Bill, Karolina Dean"
Science,Sandman,"The only danger this defender poses is that he becomes passively unstoppable when he reaches 20 Resistance charges.
However, to remove Resistance, all you need to do is land a critical hit or apply shock, poison, or bleed with a skill champion. Purifiers also have an advantage against him.","Yelena Belova, Dust, Falcon, Hit-Monkey, Kingpin, Crossbones"
Mutant,Sauron,"Against Sauron, using feat removers is almost mandatory. Without feat removers, you need to pay attention to the unblockable attacks that will be present for most of the fight.
You should force his SP2.
Champions that block unblockable special attacks are also good options.","Nimrod, Iron Man, Warlock, Viv Vision, Lady Deathstrike, Bastion"
Science,Scorpion,"Scorpion's defense uses a stinger in the form of poison and also frequently dodges.
It's advisable to use champions that are immune to poison or that avoid dodging against him.
Champions that reduce abilities or purify also work. it's preferable to force SP2.","Archangel, Kate Bishop, Mole Man, Okoye, Cyclops (Blue Team), Crossbones"
